question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error
2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014_S_S.txt|Winner_band.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,389,23,850.0,7.2e-05,"2014 S/S is the debut album of South Korean group WINNER, which was formed by YG Entertainment.",,0,0,0,0.5,0,1.0,477,4,675.8,7.4e-05,I don't know.,
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",I_Don_t_Wanna_Know.txt|Yeah!_Usher_song.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,273,4,428.6,4.3e-05,I don't know.,,0,0,0,0.5,0,1.0,321,4,468.1,5.1e-05,I don't know.,
Which American film director hosted the 18th Independent Spirit Awards in 2002?,18th_Independent_Spirit_Awards.txt|John_Waters.txt,hotpot_bridge,gpt4o-mini,1,0,1,0.5,0,1.0,283,15,680.3,5.1e-05,John Waters hosted the 18th Independent Spirit Awards in 2002.,,1,0,1,0.5,0,1.0,296,15,757.2,5.3e-05,John Waters hosted the 18th Independent Spirit Awards in 2002.,
What is the nickname of the city where Darling's Waterfront Pavilion is located?,Bangor_Maine.txt|Darling_s_Waterfront_Pavilion.txt,hotpot_bridge,gpt4o-mini,0,1,0,0.5,0,1.0,258,19,702.7,5e-05,The nickname of the city where Darling's Waterfront Pavilion is located is not provided in the context.,,0,0,0,0.5,0,1.0,331,17,795.5,6e-05,"The nickname of the city where Darling's Waterfront Pavilion is located is ""Bangor.""",
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",Mountbatten-Windsor.txt|Mountbatten_family.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,388,52,1029.8,8.9e-05,"The name ""Mountbatten-Windsor"" applies to male-line descendants of Queen Elizabeth II and Prince Philip, Duke of Edinburgh, which is a branch of the Mountbatten",,1,1,1,1.0,1,1.0,450,68,1222.7,0.000108,"The name ""Mountbatten-Windsor"" applies to male-line descendants of Queen Elizabeth II and Prince Philip, Duke of Edinburgh, which is a personal surname. It does",
Which American film actor and dancer starred in the 1945 film Johnny Angel?,George_Raft.txt|Johnny_Angel.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,286,13,691.7,5.1e-05,George Raft starred in the 1945 film Johnny Angel.,,1,1,1,0.5,0,1.0,378,13,776.2,6.4e-05,George Raft starred in the 1945 film Johnny Angel.,
James Fieser received his B.A. from what liberal arts work college that was founded in 1855?,Berea_College.txt|James_Fieser.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,295,14,630.1,5.3e-05,James Fieser received his B.A. from Berea College.,,1,1,1,0.5,0,1.0,416,14,828.6,7.1e-05,James Fieser received his B.A. from Berea College.,
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena_of_Khazan.txt|Tunnels_&amp;_Trolls.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,262,20,959.9,5.1e-05,"The name for the adventure in ""Tunnels & Trolls"" is ""Arena of Khazan.""",,1,0,1,1.0,1,1.0,282,20,656.4,5.4e-05,"The name for the adventure in ""Tunnels & Trolls"" is ""Arena of Khazan.""",
"What year was the film that starred the composer for ""The Naked Brothers Band""?",Nat_Wolff.txt|The_Fault_in_Our_Stars_film.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,330,4,496.1,5.2e-05,I don't know.,,0,0,0,0.0,0,0.0,402,4,471.5,6.3e-05,I don't know.,
When was the palace founded at which Columba de Dunbar died in 1435?,Columba_de_Dunbar.txt|Spynie_Palace.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,327,4,429.9,5.1e-05,I don't know.,,0,0,0,0.5,0,1.0,391,4,786.4,6.1e-05,I don't know.,
What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,Frank_Thomas_Big_Hurt.txt|Frank_Thomas_designated_hitter.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,0.333,377,4,559.6,5.9e-05,I don't know.,,0,0,0,0.5,0,0.333,428,4,631.9,6.7e-05,I don't know.,
What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,Henry_III_of_France.txt|Jean_Baptiste_Androuet_du_Cerceau.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,298,4,536.6,4.7e-05,I don't know.,,0,0,0,0.0,0,0.0,360,4,758.4,5.6e-05,I don't know.,
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Bobbi_Bacha.txt|Sela_Ward.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,281,4,520.9,4.5e-05,I don't know.,,0,0,0,0.5,0,1.0,383,4,557.2,6e-05,I don't know.,
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",I&quot;s.txt|Masakazu_Katsura.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,463,4,957.3,7.2e-05,I don't know.,,0,0,0,0.5,0,1.0,542,4,587.0,8.4e-05,I don't know.,
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",Harry_Connick_Jr..txt|When_Harry_Met_Sally..._soundtrack.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,285,4,613.3,4.5e-05,I don't know.,,0,0,0,0.5,0,1.0,324,4,670.5,5.1e-05,I don't know.,
Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Beverly_Marshall.txt|Ramsay_Street.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,372,7,712.5,6e-05,The suburb is Erinsborough.,,1,0,1,1.0,1,1.0,472,7,612.4,7.5e-05,The suburb is Erinsborough.,
Chris Williams last played for which football club from the National League North?,Chris_Williams_English_footballer.txt|Salford_City_F.C..txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,259,9,1474.1,4.4e-05,Chris Williams last played for Salford City.,,1,1,1,0.5,0,1.0,365,19,1023.6,6.6e-05,"Chris Williams last played for Salford City, which is a club in the National League North.",
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,199293_Charlotte_Hornets_season_5737e5.txt|Muggsy_Bogues.txt,hotpot_bridge,gpt4o-mini,0,0,1,0.5,0,1.0,257,46,1257.0,6.6e-05,The distinction held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlot,,0,0,0,0.5,0,1.0,344,4,562.3,5.4e-05,I don't know.,
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",Bruce_Spizer.txt|The_Beatles.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,1.0,313,36,901.9,6.9e-05,"Bruce Spizer is an expert on The Beatles, but the most influential act of the rock era, as declared by ""Billboard"" historian Joel Whitburn, is Elvis Presley.",,1,0,1,0.5,0,1.0,326,25,917.5,6.4e-05,"Bruce Spizer is an expert on The Beatles, who are recognized as one of the most influential acts of the rock era.",
"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",Ellie_Kemper.txt|Kimmy_Schmidt.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,299,25,901.9,6e-05,"Elizabeth Claire Kemper is known for playing the character Kimmy Schmidt in the Netflix series ""Unbreakable Kimmy Schmidt.""",,1,1,1,1.0,1,1.0,421,25,694.3,7.8e-05,"Elizabeth Claire Kemper is known for playing the character Kimmy Schmidt in the Netflix series ""Unbreakable Kimmy Schmidt.""",
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro_Mexia.txt|Indigenous_peoples_of_Florida.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,1.0,299,15,622.7,5.4e-05,Alvaro Mexia had a diplomatic mission with the Ais native population.,,0,1,1,0.5,0,1.0,370,15,833.2,6.4e-05,Alvaro Mexia had a diplomatic mission with the Ais native population.,
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",Baltimore_Orioles.txt|Wayne_Garland.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,375,10,612.8,6.2e-05,The American League was established in 1901.,,1,1,1,1.0,1,1.0,482,10,834.8,7.8e-05,The American League was established in 1901.,
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand_lamp.txt|Lewis_lamp.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,311,26,712.4,6.2e-05,The lamp used in many lighthouses is similar to the Argand lamp patented in 1780 by Aimé Argand.,,1,1,1,1.0,1,1.0,352,26,758.2,6.8e-05,The lamp used in many lighthouses is similar to the Argand lamp patented in 1780 by Aimé Argand.,
What amount was the settlement that the character from the Son of al Quada got in 2017?,Omar_Khadr.txt|Son_of_al_Qaeda.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,332,24,987.0,6.4e-05,The settlement amount that Omar Khadr received in 2017 was $10.5 million (USD 8 million).,,1,1,1,0.5,0,1.0,360,19,648.3,6.5e-05,The settlement amount that Omar Khadr received in 2017 was $10.5 million.,
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,2014_FIFA_World_Cup.txt|Algeria_at_the_FIFA_World_Cup.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,258,4,660.0,4.1e-05,I don't know.,,0,0,0,0.5,0,1.0,366,4,618.4,5.7e-05,I don't know.,
"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",American_Airlines_Shuttle.txt|Logan_International_Airport.txt,hotpot_bridge,gpt4o-mini,1,0,1,1.0,1,1.0,323,5,685.8,5.1e-05,Logan International Airport.,,1,0,1,1.0,1,1.0,422,5,713.1,6.6e-05,Logan International Airport.,
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Moroccan_Ambassador_to_China.txt|Rabat.txt,hotpot_bridge,gpt4o-mini,1,0,1,1.0,1,1.0,224,21,670.3,4.6e-05,The ambassador of the Rabat-Salé-Kénitra administrative region to China is based in Beijing.,,0,0,1,1.0,1,1.0,300,22,684.9,5.8e-05,The ambassador of the Rabat-Salé-Kénitra administrative region to China is based in Rabat.,
Alice David is the voice of Lara Croft in a video game developed by which company ?,Alice_David.txt|Tomb_Raider_2013_video_game.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,398,4,594.1,6.2e-05,I don't know.,,0,0,0,0.0,0,0.0,510,4,626.7,7.9e-05,I don't know.,
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,America_East_Conference.txt|Vermont_Catamounts_men_s_soccer.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,356,4,501.1,5.6e-05,I don't know.,,0,0,0,0.5,0,1.0,473,4,521.1,7.3e-05,I don't know.,
Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Dim_Gray_Bar_Press.txt|Wendell_Berry.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,357,14,870.2,6.2e-05,Wendell Berry has had works published by Dim Gray Bar Press.,,1,1,1,1.0,1,1.0,424,14,888.6,7.2e-05,Wendell Berry has had works published by Dim Gray Bar Press.,
"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999_Odisha_cyclone.txt|Kathantara.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,397,4,598.1,6.2e-05,I don't know.,,0,0,0,0.5,0,1.0,429,4,489.0,6.7e-05,I don't know.,
Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia_University.txt|Ralph_Hefferline.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,215,21,744.2,4.5e-05,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",,1,1,1,0.5,0,1.0,256,21,991.2,5.1e-05,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",
What year was the brother of this first round draft pick by the Washington Redskins drafted?,Boss_Bailey.txt|Champ_Bailey.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,323,4,511.8,5.1e-05,I don't know.,,0,0,0,0.0,0,0.0,408,4,647.2,6.4e-05,I don't know.,
What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige_O_Hara.txt|Something_There.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,350,31,786.0,7.1e-05,"The American actress/singer born in 1956 who recorded the song ""Something There"" for ""Beauty and the Beast"" is Paige O'Hara.",,0,0,0,0.5,0,1.0,431,4,679.4,6.7e-05,I don't know.,
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,Memphis_Hustle.txt|Southaven_Mississippi.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,1.0,320,28,1060.2,6.5e-05,"The Memphis Hustle are based in a suburb of Memphis, which had a population of 1,369,548 according to census estimates.",,0,1,1,0.5,0,1.0,403,39,838.1,8.4e-05,"The Memphis Hustle are based in Southaven, Mississippi, which is a suburb of Memphis. The population of Memphis in 2010 was 1,369,548 according to census estima",
The football manager who recruited David Beckham managed Manchester United during what timeframe?,199596_Manchester_United_F.C._season_3f9756.txt|Alex_Ferguson.txt,hotpot_bridge,gpt4o-mini,0,0,1,0.0,0,0.0,341,49,1068.8,8.1e-05,"The football manager who recruited David Beckham, Sir Alex Ferguson, managed Manchester United from 1986 to 2013. However, the context provided does not mention",,0,0,0,0.0,0,0.0,408,40,1148.5,8.5e-05,"David Beckham was recruited by Manchester United, which was managed by Sir Alexander Matthew Busby from 1945 to 1969 and again for the second half of the 1970–7",
What major city is the Faith Lutheran Middle School and High School located by?,Faith_Lutheran_Middle_School_&amp;_High_School.txt|Summerlin_Nevada.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,0.333,351,39,1835.4,7.6e-05,"The Faith Lutheran Middle School & High School is located in Summerlin, Clark County, Nevada, which serves the Las Vegas Valley. Therefore, the major city it is",,1,1,1,0.5,0,0.333,364,39,879.4,7.8e-05,"The Faith Lutheran Middle School & High School is located in Summerlin, Clark County, Nevada, which serves the Las Vegas Valley. Therefore, the major city it is",
Where did the descendants of the group of black Indians associated with the Seminole people settle?,Black_Seminoles.txt|Mascogos.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,1.0,347,20,843.6,6.4e-05,The descendants of the group of black Indians associated with the Seminole people settled in Florida and Oklahoma.,,0,1,1,0.5,0,1.0,436,20,861.7,7.7e-05,The descendants of the group of black Indians associated with the Seminole people settled in Florida and Oklahoma.,
D1NZ is a series based on what oversteering technique?,D1NZ.txt|Drifting_motorsport.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,356,12,913.2,6.1e-05,D1NZ is a series based on the drifting technique.,,1,1,1,1.0,1,1.0,391,26,843.0,7.4e-05,"D1NZ is a series based on the drifting technique, where the driver intentionally oversteers while maintaining control of the car.",
What is the population according to the 2007 population census of the city in which the National Archives and Library of Ethiopia is located?,Addis_Ababa.txt|National_Archives_and_Library_of_Ethiopia.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,302,4,626.9,4.8e-05,I don't know.,,0,0,0,0.5,0,1.0,388,4,639.3,6.1e-05,I don't know.,
