question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What is the odds ratio for teeth with caries in the periodontic treatments group?,PMC5893663_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,511,4,872.6,7.9e-05,I don't know.,,0,0,0,0,0,0.0,530,4,753.1,8.2e-05,I don't know.,,0,0,0,1,1,1.0,557,4,953.0,8.6e-05,I don't know.,,0,0,0,1,1,1.0,580,4,719.4,8.9e-05,I don't know.,
What is the approximate median number of disease terms per gene for the HOMO category in the Distribution of HPO disease terms?,PMC4267152_00008_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,455,4,580.9,7.1e-05,I don't know.,,0,0,0,0,0,0.0,468,4,697.2,7.3e-05,I don't know.,,0,0,0,1,1,1.0,527,4,757.6,8.1e-05,I don't know.,,0,0,0,1,1,1.0,544,4,965.6,8.4e-05,I don't know.,
At what wavelength does the 320nm excitation condition produce its peak emission intensity?,PMC4977338_00003_figure1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,434,4,612.3,6.8e-05,I don't know.,,0,0,0,0,0,0.0,451,4,781.4,7e-05,I don't know.,,0,0,0,1,1,1.0,493,4,1114.2,7.6e-05,I don't know.,,0,0,0,1,1,1.0,514,4,992.4,8e-05,I don't know.,
Which genes are listed as being involved in negative regulation of the cell cycle?,PMC5392680_00002_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,509,4,819.0,7.9e-05,I don't know.,,0,0,0,0,0,0.0,522,4,713.6,8.1e-05,I don't know.,,0,0,0,0,0,0.0,568,4,1877.7,8.8e-05,I don't know.,,0,0,0,0,0,0.0,585,4,817.8,9e-05,I don't know.,
What is the Theta Mean (SD) value for electrode location F2?,PMC5548847_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,483,4,902.0,7.5e-05,I don't know.,,0,0,0,0,0,0.0,496,4,717.2,7.7e-05,I don't know.,,0,0,0,1,1,1.0,534,4,712.6,8.2e-05,I don't know.,,0,0,0,1,1,1.0,551,4,1116.8,8.5e-05,I don't know.,
What is the primer sequence for the RT primer targeting hsa-miR-423-5p?,PMC5725612_00002_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,405,4,944.2,6.3e-05,I don't know.,,0,0,0,0,0,0.0,418,4,2973.6,6.5e-05,I don't know.,,0,0,0,1,1,1.0,457,4,803.3,7.1e-05,I don't know.,,0,0,0,1,1,1.0,474,4,844.9,7.3e-05,I don't know.,
What is the serum HCV RNA value at the 0° timepoint in the follow-up measurement?,PMC2711258_00002_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,504,4,614.0,7.8e-05,I don't know.,,0,0,0,0,0,0.0,565,4,578.9,8.7e-05,I don't know.,,0,0,0,0,0,0.0,579,4,856.4,8.9e-05,I don't know.,,0,0,0,0,0,0.0,644,4,674.5,9.9e-05,I don't know.,
What is the mean value of Vmax (%) for lung tissue within 5 mm of the body surface in Plan A (5 mm clipped plan)?,PMC5439372_00003_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,576,4,957.7,8.9e-05,I don't know.,,0,0,0,0,0,0.0,589,4,2761.8,9.1e-05,I don't know.,,0,0,0,0,0,0.0,648,4,1020.6,0.0001,I don't know.,,0,0,0,0,0,0.0,665,4,1091.3,0.000102,I don't know.,
What is the curer type percentage for maternal family in Indonesia?,PMC4837485_00006_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,402,4,741.2,6.3e-05,I don't know.,,0,0,0,0,0,0.0,422,4,576.6,6.6e-05,I don't know.,,0,0,0,0,0,0.0,456,4,702.4,7.1e-05,I don't know.,,0,0,0,0,0,0.0,480,4,829.0,7.4e-05,I don't know.,
Which regions of China are indicated as having wolf habitat distribution according to the green shaded areas on the map?,PMC5499078_00001_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,465,4,780.2,7.2e-05,I don't know.,,0,0,0,0,0,0.0,478,4,702.2,7.4e-05,I don't know.,,0,0,0,0,0,0.0,538,4,631.8,8.3e-05,I don't know.,,0,0,0,0,0,0.0,555,4,1200.0,8.6e-05,I don't know.,
What is the approximate mean IL-6 level in pg/mL for the EU group at baseline?,PMC4045312_00006_figure1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,526,4,664.3,8.1e-05,I don't know.,,0,0,0,0,0,0.0,544,4,799.3,8.4e-05,I don't know.,,0,0,0,0,0,0.0,586,4,891.8,9e-05,I don't know.,,0,0,0,0,0,0.0,608,4,1167.5,9.4e-05,I don't know.,
What is the sample size (n) for males in the Zhuo et al.¹ study?,PMC5915863_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,464,4,856.0,7.2e-05,I don't know.,,0,0,0,0,0,0.0,482,4,829.4,7.5e-05,I don't know.,,0,0,0,0,0,0.0,524,4,813.5,8.1e-05,I don't know.,,0,0,0,0,0,0.0,546,4,2473.6,8.4e-05,I don't know.,
What is the percentage of samples in Pattern 20 that were found to be positive for virus in digestive organs?,PMC6024555_00005_table1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,514,4,501.4,8e-05,I don't know.,,0,0,0,0,0,0.0,545,4,550.3,8.4e-05,I don't know.,,0,0,0,0,0,0.0,566,4,667.6,8.7e-05,I don't know.,,0,0,0,0,0,0.0,601,4,1242.5,9.3e-05,I don't know.,
What is the approximate fold change in TGF-β1 reporter activity when sorafenib concentration is increased from 0 μM to 10 μM?,PMC5052317_00005_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,531,4,833.5,8.2e-05,I don't know.,,0,0,0,0,0,0.0,618,4,681.3,9.5e-05,I don't know.,,0,0,0,0,0,0.0,606,4,704.2,9.3e-05,I don't know.,,0,0,0,0,0,0.0,697,4,1250.2,0.000107,I don't know.,
What is the mean Cd-Pb (nm) value for females in Group 1 (n = 66)?,PMC5995980_00002_table1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,530,4,780.8,8.2e-05,I don't know.,,0,0,0,0,0,0.0,566,4,1015.8,8.7e-05,I don't know.,,0,0,0,0,0,0.0,590,4,609.3,9.1e-05,I don't know.,,0,0,0,0,0,0.0,630,4,720.6,9.7e-05,I don't know.,
What is the consequence of genetic alterations in the SDH4 gene associated with paragangliomas and pheochromocytomas?,PMC5818369_00006_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,454,4,645.9,7e-05,I don't know.,,0,0,0,0,0,0.0,467,4,1298.9,7.2e-05,I don't know.,,0,0,0,0,0,0.0,515,4,532.9,8e-05,I don't know.,,0,0,0,0,0,0.0,532,4,736.4,8.2e-05,I don't know.,
What is the cytokine induction value for p7-labeled in the 0.020 concentration condition?,PMC4983025_00006_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,570,4,603.7,8.8e-05,I don't know.,,0,0,0,0,0,0.0,595,4,692.5,9.2e-05,I don't know.,,0,0,0,0,0,0.0,639,4,837.1,9.8e-05,I don't know.,,0,0,0,0,0,0.0,668,4,961.4,0.000103,I don't know.,
How many references are cited for studies on the West Asia (Middle East) region?,PMC4241528_00002_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,427,4,982.3,6.6e-05,I don't know.,,0,0,0,0,0,0.0,440,4,794.9,6.8e-05,I don't know.,,0,0,0,0,0,0.0,483,4,582.6,7.5e-05,I don't know.,,0,0,0,0,0,0.0,500,4,1201.3,7.7e-05,I don't know.,
