question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"What is the specific marker used to identify the ventricular myocardium in Xenopus, and at what developmental stage does its expression become restricted to the ventricle?",PMC4798847_00001.txt,multihop,gpt4o-mini,0,0,0,1,1.0,525,4,552.2,8.1e-05,I don't know.,,0,0,0,1,1.0,538,4,646.4,8.3e-05,I don't know.,,0,0,0,1,1.0,9031,4,1222.8,0.001357,I don't know.,,0,0,0,1,1.0,9048,4,943.3,0.00136,I don't know.,
"According to Grofkaus, what is the assassination norm an amalgam of, and what do Haas and Fischer expect will expand targeted-killing missions beyond counterterrorism?",PMC5632895_00019.txt,multihop,gpt4o-mini,1,1,1,1,1.0,400,69,1385.2,0.000101,"According to Grofkaus, the assassination norm is an “amalgam” that follows from the discursive separation between targeted killing and liberal meta-norms. Haas ",,1,1,1,1,1.0,436,48,991.3,9.4e-05,"According to Grofkaus, the assassination norm is an ""amalgam."" Haas and Fischer expect that technological advances, specifically in terms of autonomous weapons ",,1,1,1,1,1.0,8906,62,1247.9,0.001373,"According to Grofkaus, the assassination norm is an ""amalgam"" that involves a discursive separation between targeted killing and liberal meta-norms. Haas and Fi",,1,1,1,1,1.0,8946,62,1727.0,0.001379,"According to Grofkaus, the assassination norm is an ""amalgam"" that reflects a discursive separation between targeted killing and liberal meta-norms. Haas and Fi",
"What is the GenBank number for the dmaW homolog from Metarhizium aurantiaca, and which isolate of Aspergillus fumigatus has the GenBank number 7 aasaaa?",PMC2747131_00003.txt,multihop,gpt4o-mini,0,0,0,1,1.0,567,4,718.6,8.7e-05,I don't know.,,0,0,0,1,1.0,580,4,505.3,8.9e-05,I don't know.,,0,0,0,1,1.0,14740,59,1896.4,0.002246,"I don't know the GenBank number for the dmaW homolog from Metarhizium aurantiaca. The isolate of Aspergillus fumigatus with the GenBank number 7 aasaaa is ""Aspe",,0,0,0,1,1.0,14757,70,1681.8,0.002256,"The provided text does not contain information about the GenBank number for the dmaW homolog from Metarhizium aurantiaca. However, it states that the isolate of",
"What is the decoy receptor for LIGHT that is found only in humans, and which disease has been linked to genetic variation at the TL1A locus?",PMC5599977_00004.txt,multihop,gpt4o-mini,0,0,1,1,1.0,449,37,931.8,9e-05,The decoy receptor for LIGHT that is found only in humans is DR-3. The disease linked to genetic variation at the TL1A locus is inflammatory bowel disease (IBD),,0,0,1,1,1.0,497,35,715.0,9.6e-05,The decoy receptor for LIGHT that is found only in humans is DR-3. The disease linked to genetic variation at the TL1A locus is rheumatoid arthritis (RA).,,0,0,1,1,1.0,8955,37,1564.7,0.001365,The decoy receptor for LIGHT that is found only in humans is DR-3. The disease linked to genetic variation at the TL1A locus is inflammatory bowel disease (IBD),,0,0,1,1,1.0,9007,35,1462.4,0.001372,The decoy receptor for LIGHT that is found only in humans is DR-3. The disease linked to genetic variation at the TL1A locus is rheumatoid arthritis (RA).,
"What was the range of mean appropriateness and clarity scores given by content experts for the newly developed items, and how many participants completed the HIP-Q and participated in cognitive interviews?",PMC4656221_00004.txt,multihop,gpt4o-mini,0,0,0,1,1.0,446,4,488.7,6.9e-05,I don't know.,,0,0,0,1,1.0,474,4,521.0,7.3e-05,I don't know.,,0,0,0,1,1.0,8952,4,2044.2,0.001345,I don't know.,,0,0,0,1,1.0,8984,4,832.8,0.00135,I don't know.,
"What two elements must ethical policies include according to the passage, beyond validity and binding character?",PMC4934536_00006.txt,multihop,gpt4o-mini,0,1,1,1,1.0,365,40,1263.7,7.9e-05,"The two elements that ethical policies must include, beyond validity and binding character, are the anticipation of ethical values, principles, and conflicts of",,0,1,1,1,1.0,444,19,862.9,7.8e-05,Ethical policies must include the anticipation of ethical values and the ability to address controversial moral issues.,,0,1,1,1,1.0,8871,59,1479.1,0.001366,"According to the passage, beyond validity and binding character, ethical policies must include:  1. Anticipation of ethical values, principles, and conflicts of",,0,1,1,1,1.0,8954,44,1920.4,0.00137,"According to the passage, beyond validity and binding character, ethical policies must include:  1. Anticipation of ethical values, principles, and conflicts of",
"What concentration of tetraethylammonium was used as a nonselective K⁺ channel blocker, and which specific K⁺ channel blocker was applied at 0.4 µM?",PMC3759249_00002.txt,multihop,gpt4o-mini,1,1,1,1,1.0,527,49,1300.7,0.000108,"The concentration of tetraethylammonium used as a nonselective K⁺ channel blocker was 1 mM, and the specific K⁺ channel blocker applied at 0.4 µM was glibenclam",,1,1,1,1,1.0,542,48,1297.9,0.00011,"The concentration of tetraethylammonium used as a nonselective K⁺ channel blocker was 1 mM, and the specific K⁺ channel blocker applied at 0.4 µM was gibendamid",,1,1,1,1,1.0,9033,46,1412.2,0.001383,The concentration of tetraethylammonium used as a nonselective K⁺ channel blocker was 1 mM. The specific K⁺ channel blocker applied at 0.4 µM was glibenclamide.,,1,1,1,1,1.0,9052,52,1656.5,0.001389,The concentration of tetraethylammonium (TEA) used as a nonselective K⁺ channel blocker was 1 mM. The specific K⁺ channel blocker applied at 0.4 µM was glibencl,
What value prominent in the West Virginia community was leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Management program?,PMC5110146_00008.txt,multihop,gpt4o-mini,1,1,1,1,1.0,415,26,1101.4,7.8e-05,The value of generosity was leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Management program in West Virginia.,,1,1,1,1,1.0,476,31,986.1,9e-05,The value of generosity was prominent in the West Virginia community and was leveraged to make peer-to-peer support more readily received in the Diabetes Preven,,1,1,1,1,1.0,8921,34,1514.9,0.001359,The value prominent in the West Virginia community that was leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Manageme,,1,0,1,1,1.0,8986,34,1235.5,0.001368,The value prominent in the West Virginia community that was leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Manageme,
"How many peptides were identified for BSA after SCW hydrolysis at 160°C for 0 minutes, and how many for casein hydrolysate at the same temperature and time?",PMC5556142_00009.txt,multihop,gpt4o-mini,0,0,0,1,1.0,463,4,596.2,7.2e-05,I don't know.,,0,0,0,1,1.0,484,4,579.6,7.5e-05,I don't know.,,0,0,0,1,1.0,8969,4,993.5,0.001348,I don't know.,,0,0,0,1,1.0,8994,4,875.9,0.001352,I don't know.,
What was the incubation temperature and duration used for the samples placed in an orbital shaker during the equilibrium solubility measurements?,PMC5710999_00002.txt,multihop,gpt4o-mini,0,0,0,1,1.0,493,4,735.3,7.6e-05,I don't know.,,0,1,1,1,1.0,539,42,995.8,0.000106,"The incubation temperature used for the samples was 20 + 2 °C. However, the duration of the incubation is not provided in the context or knowledge-graph facts, ",,0,1,1,1,1.0,8999,41,1229.8,0.001374,The incubation temperature used for the samples placed in an orbital shaker during the equilibrium solubility measurements was 20 ± 2 °C. The duration of the in,,0,1,1,1,1.0,9049,41,1314.4,0.001382,The incubation temperature used for the samples placed in an orbital shaker during the equilibrium solubility measurements was 20 + 2 °C. The duration of the in,
"What was the particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g, and what was the factor for 18 g of zirconia TZ3Y dropped from the same height compared to the smallest amount?",PMC5820406_00009.txt,multihop,gpt4o-mini,1,1,1,1,1.0,546,78,1257.3,0.000129,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was found to be a factor of 14. For 18 g of zirconia,,0,1,1,1,1.0,587,77,1231.0,0.000134,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was a factor of 14. For 18 g of zirconia TZ3Y droppe,,1,1,1,1,1.0,9052,79,1809.7,0.001405,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was found to be a factor of 14. For 18 g of zirconia,,0,1,1,1,1.0,9097,83,1589.3,0.001414,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was found to be a factor of 14. For 18 g of zirconia,
"What is the value of Pr(θ > θc) for the Facebook social circles network, and what is the posterior credible interval for α in the cond-mat co-authorship network?",PMC5699441_00027.txt,multihop,gpt4o-mini,0,0,0,1,1.0,501,4,542.8,7.8e-05,I don't know.,,0,0,0,1,1.0,523,4,669.1,8.1e-05,I don't know.,,1,0,1,1,1.0,9007,36,1055.2,0.001373,I don't know the value of Pr(θ > θc) for the Facebook social circles network or the posterior credible interval for α in the cond-mat co-authorship network.,,1,0,1,1,1.0,9033,36,1109.6,0.001377,I don't know the value of Pr(θ > θc) for the Facebook social circles network or the posterior credible interval for α in the cond-mat co-authorship network.,
"According to the passage, what is the focus of most academic and societal discussion concerning crisis communication, and what aspect of the communication is usually not focused upon in such discussions?",PMC5799154_00002.txt,multihop,gpt4o-mini,1,1,1,1,1.0,436,57,1128.4,0.0001,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the effectiveness of particular communication",,1,1,1,1,1.0,507,57,1078.5,0.00011,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the effectiveness of particular communication",,1,1,1,1,1.0,8942,53,1515.0,0.001373,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the effectiveness of particular communication",,1,1,1,1,1.0,9017,54,1677.5,0.001385,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the effectiveness of particular communication",
"What was the mortality rate for CDH patients in the early time period (1995–2005), and what was the odds ratio for death in infants with an intrathoracic liver?",PMC5310566_00002.txt,multihop,gpt4o-mini,0,1,1,1,1.0,543,52,1005.2,0.000113,The mortality rate for CDH patients in the early time period (1995–2005) was 19.5%. The odds ratio for death in infants with an intrathoracic liver was 637 time,,0,0,1,1,1.0,640,46,1237.6,0.000124,The mortality rate for CDH patients in the early time period (1995–2005) was 17.96%. The odds ratio for death in infants with an intrathoracic liver was 637 tim,,0,0,1,1,1.0,9049,51,1278.0,0.001388,The mortality rate for CDH patients in the early time period (1995–2005) was 19.5%. The odds ratio for death in infants with an intrathoracic liver was 637 time,,0,0,1,1,1.0,9150,45,1072.1,0.001399,The mortality rate for CDH patients in the early time period (1995–2005) was 17.96%. The odds ratio for death in infants with an intrathoracic liver was 637 tim,
"What instrument was used to measure silver concentration in elutes from TNT/Ag coatings, and what software analyzed the data?",PMC5618385_00012.txt,multihop,gpt4o-mini,1,1,1,1,1.0,460,53,1033.9,0.000101,The instrument used to measure silver concentration in elutes from TNT/Ag coatings was an inductively coupled plasma mass spectrometry device (ICP MS Agilent Te,,1,1,1,1,1.0,508,51,919.7,0.000107,The instrument used to measure silver concentration in elutes from TNT/Ag coatings was an inductively coupled plasma mass spectrometry device (ICP MS Agilent Te,,1,1,1,1,1.0,8966,53,1375.2,0.001377,The instrument used to measure silver concentration in elutes from TNT/Ag coatings was an inductively coupled plasma mass spectrometry device (ICP MS Agilent Te,,1,1,1,1,1.0,9018,40,1148.3,0.001377,The instrument used to measure silver concentration in elutes from TNT/Ag coatings was an inductively coupled plasma mass spectrometry device (ICP-MS). The data,
"What percentage of new HIV infections in adolescent girls in southern Africa occur in women aged 25-24, and what age range defines adolescents in the passage?",PMC3955761_00000.txt,multihop,gpt4o-mini,1,0,1,1,1.0,362,40,791.7,7.8e-05,The passage does not provide a specific percentage of new HIV infections in adolescent girls in southern Africa that occur in women aged 25-24. It defines adole,,0,0,0,1,1.0,425,4,523.1,6.6e-05,I don't know.,,1,0,1,1,1.0,8868,42,1327.4,0.001355,"The passage does not provide a specific percentage of new HIV infections in adolescent girls in southern Africa that occur in women aged 25-24. However, it defi",,1,0,1,1,1.0,8935,42,1156.5,0.001365,"The passage does not provide a specific percentage of new HIV infections in adolescent girls in southern Africa that occur in women aged 25-24. However, it defi",
"What range of F-actin fluorescence (FHP) was observed during dental pulp cell (DPC) differentiation, and what fold reduction in GF? expression was seen in the same cells?",PMC5153425_00004.txt,multihop,gpt4o-mini,0,0,0,0,0.0,487,4,507.4,7.5e-05,I don't know.,,0,0,0,0,0.0,551,4,884.4,8.5e-05,I don't know.,,0,0,0,0,0.0,8993,4,787.4,0.001351,I don't know.,,0,0,0,0,0.0,9061,47,5265.1,0.001387,I don't know the range of F-actin fluorescence (FHP) observed during dental pulp cell (DPC) differentiation or the fold reduction in GF expression in the same c,
"What is the 30-month overall survival rate for all CLL patients treated with ibrutinib, and what is it for the del(17p) subset?",PMC5679049_00002.txt,multihop,gpt4o-mini,1,1,1,1,1.0,490,37,1111.9,9.6e-05,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%, and for the del(17p) subset, it is 65%.",,1,1,1,1,1.0,620,37,958.3,0.000115,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%, and for the del(17p) subset, it is 65%.",,1,1,1,1,1.0,8996,37,1292.3,0.001372,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%, while for the del(17p) subset, it is 65%.",,1,1,1,1,1.0,9130,38,1304.0,0.001392,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%. For the del(17p) subset, the survival rate is 65%.",
"What was the effect of cardanol alone on apoptosis in the liver, kidneys, and spleen, and what was observed when cardanol was combined with cyclophosphamide in those organs?",PMC4910563_00005.txt,multihop,gpt4o-mini,0,1,1,1,1.0,538,41,707.9,0.000105,"Cardanol alone increased apoptosis in the liver, kidneys, and spleen. However, when combined with cyclophosphamide, a reduction in the number of apoptotic cells",,0,0,1,1,1.0,629,43,1333.7,0.00012,"Cardanol alone induced apoptosis in the spleen. However, a reduction in the number of apoptotic cells was observed in the liver, kidneys, and spleen when cardan",,0,1,1,1,1.0,9044,40,1330.7,0.001381,"Cardanol alone increased apoptosis in the liver, kidneys, and spleen. However, when combined with cyclophosphamide, a reduction in the number of apoptotic cells",,0,1,1,1,1.0,9139,61,1530.6,0.001407,Cardanol alone induced apoptosis in the spleen but did not have a specified effect on apoptosis in the liver and kidneys. When cardanol was combined with cyclop,
"What machine learning method has been applied to both Parkinson's disease and type 3 diabetes, and which method has been applied to Crohn's disease?",PMC4464008_00003.txt,multihop,gpt4o-mini,1,1,1,1,0.5,453,41,2139.8,9.3e-05,The machine learning method that has been applied to both Parkinson's disease and type 3 diabetes is Support Vector Machines (SVM). Random Forests (RF) have bee,,1,1,1,1,0.5,480,41,1131.3,9.7e-05,The machine learning method that has been applied to both Parkinson's disease and type 3 diabetes is Support Vector Machines (SVM). Random Forests (RF) have bee,,1,1,1,1,0.5,8959,38,2202.4,0.001367,The machine learning method applied to both Parkinson's disease and type 3 diabetes is Support Vector Machines (SVM). The method applied to Crohn's disease is R,,1,1,1,1,0.5,8990,38,1403.9,0.001371,The machine learning method applied to both Parkinson's disease and type 3 diabetes is Support Vector Machines (SVM). Random Forests (RF) have been applied to C,
