question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"What is the specific marker used to identify the ventricular myocardium in Xenopus, and at what developmental stage does its expression become restricted to the ventricle?",PMC4798847_00001.txt,multihop,llama-70b,0,0,0,1,1.0,565,42,226.7,0.000367,I don't know. The provided context does not contain information about a specific marker for the ventricular myocardium in Xenopus or the developmental stage at ,,0,0,0,1,1.0,576,45,197.7,0.000375,I don't know. The provided context passages do not contain information about a specific marker used to identify the ventricular myocardium in Xenopus or the dev,,0,0,0,1,1.0,635,70,353.4,0.00043,I don't know. The provided text context does not contain information about a specific marker used to identify the ventricular myocardium in Xenopus or the devel,,0,0,0,1,1.0,650,45,222.5,0.000419,I don't know. The provided text context does not contain information about a specific marker used to identify the ventricular myocardium in Xenopus or the devel,
"According to Grofkaus, what is the assassination norm an amalgam of, and what do Haas and Fischer expect will expand targeted-killing missions beyond counterterrorism?",PMC5632895_00019.txt,multihop,llama-70b,1,1,1,1,1.0,431,88,492.4,0.000324,"According to the provided context, Grofkaus argues that the assassination norm is an ""amalgam,"" but it does not specify what it is an amalgam of.   Haas and Fis",,1,1,1,1,1.0,465,88,249.6,0.000344,"According to the provided context, Grofkaus argues that the assassination norm is an ""amalgam,"" but it does not specify what it is an amalgam of.   Haas and Fis",,0,1,1,1,1.0,491,71,639.7,0.000346,"According to the text, Grofkaus argues that the assassination norm is an ""amalgam,"" but it does not specify what it is an amalgam of.   Haas and Fischer expect ",,1,1,1,1,1.0,529,89,294.6,0.000382,"According to the provided text context, Grofkaus argues that the assassination norm is an ""amalgam,"" but it does not specify what it is an amalgam of.   Haas an",
"What is the GenBank number for the dmaW homolog from Metarhizium aurantiaca, and which isolate of Aspergillus fumigatus has the GenBank number 7 aasaaa?",PMC2747131_00003.txt,multihop,llama-70b,0,0,1,1,1.0,624,113,463.5,0.000457,"I don't know the GenBank number for the dmaW homolog from Metarhizium aurantiaca, as it is not mentioned in the provided context.   Also, I don't know which iso",,0,0,1,1,1.0,635,128,814.4,0.000476,"I don't know the GenBank number for the dmaW homolog from Metarhizium aurantiaca, as it is not mentioned in the provided context passages.   Also, I don't know ",,0,0,1,1,1.0,671,135,503.9,0.000503,"I don't know the GenBank number for the dmaW homolog from Metarhizium aurantiaca, as it is not mentioned in the provided text context.   Also, I don't know whic",,0,0,0,1,1.0,686,79,826.9,0.000467,"I don't know the GenBank number for the dmaW homolog from Metarhizium aurantiaca, as it is not mentioned in the provided text context.   The isolate of Aspergil",
"What is the decoy receptor for LIGHT that is found only in humans, and which disease has been linked to genetic variation at the TL1A locus?",PMC5599977_00004.txt,multihop,llama-70b,0,0,1,1,1.0,482,100,438.4,0.000363,"The decoy receptor for LIGHT that is found only in humans is Decoy Receptor 3 (DR-3). However, the text does not explicitly state which disease has been linked ",,0,0,1,1,1.0,529,77,327.2,0.000373,"The decoy receptor for LIGHT that is found only in humans is Decoy Receptor 3 (DR-3). However, I don't know which disease has been linked to genetic variation a",,0,1,1,1,1.0,543,133,436.5,0.000425,"The decoy receptor for LIGHT that is found only in humans is Decoy Receptor 3 (DR-3). According to the text, TL1A has been associated with various human disease",,0,0,0,1,1.0,594,74,529.3,0.000409,"The decoy receptor for LIGHT that is found only in humans is DR-3. However, I don't know which disease has been linked to genetic variation at the TL1A locus, a",
"What was the range of mean appropriateness and clarity scores given by content experts for the newly developed items, and how many participants completed the HIP-Q and participated in cognitive interviews?",PMC4656221_00004.txt,multihop,llama-70b,0,0,1,1,1.0,478,20,971.7,0.000298,I don't know. The provided context does not contain the necessary information to answer this question.,,0,0,1,1,1.0,504,39,418.9,0.000328,I don't know. The provided context passages do not mention the range of mean appropriateness and clarity scores or the number of participants who completed the ,,0,0,1,1,1.0,531,52,346.6,0.000354,I don't know. The provided text context does not mention the range of mean appropriateness and clarity scores given by content experts for the newly developed i,,0,0,1,1,1.0,561,39,373.5,0.000362,I don't know. The provided text context does not mention the range of mean appropriateness and clarity scores or the number of participants who completed the HI,
"What two elements must ethical policies include according to the passage, beyond validity and binding character?",PMC4934536_00006.txt,multihop,llama-70b,1,1,1,1,1.0,393,51,296.9,0.000272,"According to the passage, beyond validity and binding character, ethical policies must include:   1. Information about their period of validity and when a revis",,1,1,1,1,1.0,470,53,421.9,0.000319,"According to the passage, beyond validity and binding character, ethical policies must include two elements:   1. Information about their period of validity and",,1,1,1,1,1.0,449,121,1230.4,0.00036,"According to the passage, beyond validity and binding character, ethical policies must include:   1. Information about their period of validity and when a revis",,1,1,1,1,1.0,530,124,540.5,0.000411,"According to the passage, beyond validity and binding character, ethical policies must include two elements:   1. Information about their period of validity and",
"What concentration of tetraethylammonium was used as a nonselective K⁺ channel blocker, and which specific K⁺ channel blocker was applied at 0.4 µM?",PMC3759249_00002.txt,multihop,llama-70b,1,1,1,1,1.0,561,63,427.5,0.000381,The concentration of tetraethylammonium (TEA) used as a nonselective K⁺ channel blocker was 1 mM.   The specific K⁺ channel blocker applied at 0.4 µM was gliben,,1,1,1,1,1.0,574,62,270.0,0.000388,The concentration of tetraethylammonium (TEA) used as a nonselective K⁺ channel blocker was 1 mM. The specific K⁺ channel blocker applied at 0.4 µM was glibenam,,1,1,1,1,1.0,664,64,455.8,0.000442,The concentration of tetraethylammonium (TEA) used as a nonselective K⁺ channel blocker was 1 mM. The specific K⁺ channel blocker applied at 0.4 µM was glibenam,,1,1,1,1,1.0,681,62,319.1,0.000451,The concentration of tetraethylammonium (TEA) used as a nonselective K⁺ channel blocker was 1 mM. The specific K⁺ channel blocker applied at 0.4 µM was glibenam,
What value prominent in the West Virginia community was leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Management program?,PMC5110146_00008.txt,multihop,llama-70b,1,1,1,1,1.0,454,27,479.2,0.000289,The values of generosity and loyalty were leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Management program.,,1,1,1,1,1.0,513,34,356.5,0.00033,The values prominent in the West Virginia community that were leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Manage,,1,1,1,1,1.0,513,52,562.8,0.000344,The values prominent in the West Virginia community that were leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Manage,,1,1,1,1,1.0,576,34,920.1,0.000367,The values prominent in the West Virginia community that were leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Manage,
"How many peptides were identified for BSA after SCW hydrolysis at 160°C for 0 minutes, and how many for casein hydrolysate at the same temperature and time?",PMC5556142_00009.txt,multihop,llama-70b,0,0,0,1,1.0,499,67,267.4,0.000347,I don't know. The provided context does not mention the number of peptides identified for BSA or casein hydrolysate at 160°C for 0 minutes. It only discusses th,,0,0,0,1,1.0,520,74,355.5,0.000365,I don't know. The provided context passages and knowledge-graph facts do not mention the number of peptides identified for BSA or casein hydrolysate at 160°C fo,,0,0,1,1,1.0,568,76,408.9,0.000395,I don't know. The provided text context does not mention the number of peptides identified for BSA or casein hydrolysate after SCW hydrolysis at 160°C for 0 min,,0,0,0,1,1.0,593,76,318.0,0.00041,I don't know. The provided text context does not mention the number of peptides identified for BSA or casein hydrolysate after SCW hydrolysis at 160°C for 0 min,
What was the incubation temperature and duration used for the samples placed in an orbital shaker during the equilibrium solubility measurements?,PMC5710999_00002.txt,multihop,llama-70b,0,0,1,1,1.0,532,62,416.8,0.000363,I don't know. The provided context does not mention the incubation temperature and duration for the samples placed in an orbital shaker during the equilibrium s,,0,1,1,1,1.0,576,52,664.5,0.000381,"The incubation temperature was 20 + 2 °C. However, I don't know the duration used for the samples placed in an orbital shaker during the equilibrium solubility ",,0,0,1,1,1.0,605,71,1483.6,0.000413,I don't know. The provided text context does not mention the incubation temperature and duration for the samples placed in an orbital shaker during the equilibr,,0,1,1,1,1.0,653,72,368.5,0.000442,"The incubation temperature was 20 + 2 °C. However, the duration is not specified in the provided text context for the equilibrium solubility measurements. It is",
"What was the particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g, and what was the factor for 18 g of zirconia TZ3Y dropped from the same height compared to the smallest amount?",PMC5820406_00009.txt,multihop,llama-70b,1,1,1,1,1.0,589,163,1012.4,0.000476,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was a factor of 14.   The factor for 18 g of zirconi,,0,1,1,1,1.0,628,80,820.3,0.000434,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was a factor of 14.   For 18 g of zirconia TZ3Y drop,,1,1,1,1,1.0,667,118,482.3,0.000487,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was a factor of 14.   For 18 g of zirconia TZ3Y drop,,0,1,1,1,1.0,710,80,321.1,0.000482,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was a factor of 14.   For 18 g of zirconia TZ3Y drop,
"What is the value of Pr(θ > θc) for the Facebook social circles network, and what is the posterior credible interval for α in the cond-mat co-authorship network?",PMC5699441_00027.txt,multihop,llama-70b,1,0,1,1,1.0,530,65,406.9,0.000364,I don't know. The provided context does not contain the specific values of Pr(θ > θc) for the Facebook social circles network or the posterior credible interval,,1,0,1,1,1.0,550,51,228.0,0.000365,I don't know the specific values of Pr(θ > θc) for the Facebook social circles network or the posterior credible interval for α in the cond-mat co-authorship ne,,1,0,1,1,1.0,615,77,589.7,0.000424,I don't know. The provided text context does not mention the specific value of Pr(θ > θc) for the Facebook social circles network or the posterior credible inte,,1,0,1,1,1.0,639,66,364.3,0.000429,I don't know. The provided text context does not contain the specific values of Pr(θ > θc) for the Facebook social circles network or the posterior credible int,
"According to the passage, what is the focus of most academic and societal discussion concerning crisis communication, and what aspect of the communication is usually not focused upon in such discussions?",PMC5799154_00002.txt,multihop,llama-70b,1,1,1,1,1.0,471,85,318.5,0.000345,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the ""effectiveness of particular communicatio",,1,1,1,1,1.0,540,78,268.7,0.00038,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the effectiveness of particular communication",,1,1,1,1,1.0,527,75,510.8,0.00037,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the effectiveness of particular communication",,1,1,1,1,1.0,600,80,273.5,0.000417,"According to the passage, the focus of most academic and societal discussion concerning crisis communication is on the effectiveness of particular communication",
"What was the mortality rate for CDH patients in the early time period (1995–2005), and what was the odds ratio for death in infants with an intrathoracic liver?",PMC5310566_00002.txt,multihop,llama-70b,0,0,0,1,1.0,577,85,382.2,0.000408,"The provided context does not explicitly state the mortality rate for CDH patients in the early time period (1995-2005). However, it does mention that the moat ",,0,0,1,1,1.0,673,124,448.0,0.000495,The provided context passages and knowledge-graph facts do not explicitly state the mortality rate for CDH patients in the early time period (1995-2005). Howeve,,0,0,0,1,1.0,624,111,421.1,0.000456,"The text does not provide a specific mortality rate for CDH patients in the early time period (1995-2005). However, it mentions that the moat rate was 19.5%, bu",,0,0,1,1,1.0,724,171,665.0,0.000562,"The provided text context does not explicitly state the mortality rate for CDH patients in the early time period (1995-2005). However, it does mention that the ",
"What instrument was used to measure silver concentration in elutes from TNT/Ag coatings, and what software analyzed the data?",PMC5618385_00012.txt,multihop,llama-70b,1,1,1,1,1.0,497,61,269.2,0.000341,The instrument used to measure the silver concentration in elutes was an inductively coupled plasma mass spectrometry device (ICP MS Agilent Technologies 7700x),,1,1,1,1,1.0,546,76,242.2,0.000382,The instrument used to measure silver concentration in elutes from TNT/Ag coatings was an inductively coupled plasma mass spectrometry device (ICP MS Agilent Te,,1,1,1,1,1.0,555,108,319.9,0.000413,The instrument used to measure the silver concentration in elutes from TNT/Ag coatings was an inductively coupled plasma mass spectrometry device (ICP MS Agilen,,1,1,1,1,1.0,608,93,307.3,0.000432,The instrument used to measure silver concentration in elutes from TNT/Ag coatings was an inductively coupled plasma mass spectrometry device (ICP MS Agilent Te,
"What percentage of new HIV infections in adolescent girls in southern Africa occur in women aged 25-24, and what age range defines adolescents in the passage?",PMC3955761_00000.txt,multihop,llama-70b,0,0,1,1,1.0,399,67,278.0,0.000288,"I don't know what percentage of new HIV infections in adolescent girls in southern Africa occur in women aged 25-24, as this information is not provided in the ",,0,0,0,1,1.0,463,84,328.7,0.00034,"I don't know the percentage of new HIV infections in adolescent girls in southern Africa that occur in women aged 25-24, as the provided context passages and kn",,0,0,1,1,1.0,466,84,330.5,0.000341,"I don't know the percentage of new HIV infections in adolescent girls in southern Africa that occur in women aged 25-24, as this information is not provided in ",,0,0,0,1,1.0,534,80,362.9,0.000378,"I don't know the percentage of new HIV infections in adolescent girls in southern Africa that occur in women aged 25-24, as the provided text does not mention t",
"What range of F-actin fluorescence (FHP) was observed during dental pulp cell (DPC) differentiation, and what fold reduction in GF? expression was seen in the same cells?",PMC5153425_00004.txt,multihop,llama-70b,0,0,1,0,0.0,522,63,297.9,0.000358,I don't know. The provided context does not mention F-actin fluorescence (FHP) or GF expression in dental pulp cells (DPC) during differentiation. It appears to,,0,0,1,0,0.0,585,40,183.9,0.000377,I don't know. The provided context passages and knowledge-graph facts do not mention F-actin fluorescence (FHP) or GF expression in dental pulp cells (DPC) duri,,0,0,1,0,0.0,597,85,519.2,0.000419,I don't know. The provided text context does not mention F-actin fluorescence (FHP) or GF expression in dental pulp cells (DPC) during differentiation. The text,,0,0,1,0,0.0,664,44,216.9,0.000427,"I don't know. The provided text context, knowledge-graph facts, and image descriptions do not mention F-actin fluorescence (FHP) or GF expression in dental pulp",
"What is the 30-month overall survival rate for all CLL patients treated with ibrutinib, and what is it for the del(17p) subset?",PMC5679049_00002.txt,multihop,llama-70b,1,1,1,1,1.0,523,37,246.8,0.000338,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%, and for the del(17p) subset, it is 65%.",,1,1,1,1,1.0,651,37,226.3,0.000413,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%, and for the del(17p) subset, it is 65%.",,1,1,1,1,1.0,602,37,202.5,0.000384,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%, and for the del(17p) subset, it is 65%.",,1,1,1,1,1.0,734,37,185.4,0.000462,"The 30-month overall survival rate for all CLL patients treated with ibrutinib is 79%, and for the del(17p) subset, it is 65%.",
"What was the effect of cardanol alone on apoptosis in the liver, kidneys, and spleen, and what was observed when cardanol was combined with cyclophosphamide in those organs?",PMC4910563_00005.txt,multihop,llama-70b,0,0,1,1,1.0,581,80,433.0,0.000406,The text does not mention the effect of cardanol alone on apoptosis in the liver and kidneys. It only mentions that cardanol alone did not increase apoptosis in,,0,0,1,1,1.0,671,83,360.1,0.000461,"The provided context passages do not mention the effect of cardanol alone on apoptosis in the liver and kidneys. However, it is mentioned that cardanol alone di",,0,1,1,1,1.0,631,72,417.0,0.000429,"According to the provided text, cardanol alone did not increase apoptosis in the spleen. However, a reduction in the number of apoptotic cells was observed in o",,0,1,1,1,1.0,725,127,692.2,0.000528,"According to the provided text context, cardanol alone did not increase apoptosis in the spleen. However, when cardanol was combined with cyclophosphamide, a re",
"What machine learning method has been applied to both Parkinson's disease and type 3 diabetes, and which method has been applied to Crohn's disease?",PMC4464008_00003.txt,multihop,llama-70b,0,0,0,1,0.5,490,186,762.1,0.000436,"According to the provided context, Random Forests (RFs) has been applied to Crohn's disease, but it is not mentioned as being applied to both Parkinson's diseas",,0,0,0,1,0.5,516,112,446.7,0.000393,"Based on the provided context passages, it appears that:  - Random Forests (RFs) has been applied to Crohn's disease [5]. - Support Vector Machine (SVM) has bee",,0,0,0,1,0.5,540,358,1440.0,0.000601,"Based on the provided text context, I can see that:  - SVN (which I assume refers to Support Vector Machines) and Random Forests have been applied to various di",,0,0,0,1,0.5,570,307,1099.3,0.000579,"Based on the provided text context, it appears that Support Vector Machines (SVM) and Random Forests (RF) are machine learning methods that have been applied to",
