question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error
2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014_S_S|Winner_(band),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,386,4,609.2,6e-05,I don't know.,,0,0,0,0.0,0,0.0,399,4,531.9,6.2e-05,I don't know.,
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",I_Don't_Wanna_Know|Yeah!_(Usher_song),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,335,4,788.1,5.3e-05,I don't know.,,0,0,0,0.0,0,0.0,348,4,556.1,5.5e-05,I don't know.,
Which American film director hosted the 18th Independent Spirit Awards in 2002?,18th_Independent_Spirit_Awards|John_Waters,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,234,4,548.3,3.7e-05,I don't know.,,0,0,0,0.0,0,0.0,247,4,479.1,3.9e-05,I don't know.,
What is the nickname of the city where Darling's Waterfront Pavilion is located?,"Bangor,_Maine|Darling's_Waterfront_Pavilion",hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,530,4,663.3,8.2e-05,I don't know.,,0,0,0,0.0,0,0.0,543,4,443.9,8.4e-05,I don't know.,
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",Mountbatten-Windsor|Mountbatten_family,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,507,4,796.9,7.8e-05,I don't know.,,0,0,0,0.0,0,0.0,520,4,476.8,8e-05,I don't know.,
Which American film actor and dancer starred in the 1945 film Johnny Angel?,George_Raft|Johnny_Angel,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,319,4,756.5,5e-05,I don't know.,,0,0,0,0.0,0,0.0,332,4,627.5,5.2e-05,I don't know.,
James Fieser received his B.A. from what liberal arts work college that was founded in 1855?,Berea_College|James_Fieser,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,528,4,542.1,8.2e-05,I don't know.,,0,0,0,0.0,0,0.0,541,4,485.7,8.4e-05,I don't know.,
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena_of_Khazan|Tunnels_&amp;_Trolls,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,472,4,605.3,7.3e-05,I don't know.,,0,0,0,0.0,0,0.0,489,4,685.5,7.6e-05,I don't know.,
"What year was the film that starred the composer for ""The Naked Brothers Band""?",Nat_Wolff|The_Fault_in_Our_Stars_(film),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,516,4,453.3,8e-05,I don't know.,,0,0,0,0.0,0,0.0,529,4,614.7,8.2e-05,I don't know.,
When was the palace founded at which Columba de Dunbar died in 1435?,Columba_de_Dunbar|Spynie_Palace,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,265,4,654.6,4.2e-05,I don't know.,,0,0,0,0.0,0,0.0,278,4,502.7,4.4e-05,I don't know.,
What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,Frank_Thomas'_Big_Hurt|Frank_Thomas_(designated_hitter),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,555,4,715.4,8.6e-05,I don't know.,,0,0,0,0.0,0,0.0,568,4,483.1,8.8e-05,I don't know.,
What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,Henry_III_of_France|Jean_Baptiste_Androuet_du_Cerceau,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,570,4,631.8,8.8e-05,I don't know.,,0,0,0,0.0,0,0.0,583,4,712.1,9e-05,I don't know.,
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Bobbi_Bacha|Sela_Ward,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,364,4,609.3,5.7e-05,I don't know.,,0,0,0,0.0,0,0.0,377,4,488.2,5.9e-05,I don't know.,
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",I&quot;s|Masakazu_Katsura,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,650,4,464.7,0.0001,I don't know.,,0,0,0,0.0,0,0.0,663,4,1121.3,0.000102,I don't know.,
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",Harry_Connick_Jr.|When_Harry_Met_Sally..._(soundtrack),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,538,4,474.8,8.3e-05,I don't know.,,0,0,0,0.0,0,0.0,551,4,531.4,8.5e-05,I don't know.,
Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Beverly_Marshall|Ramsay_Street,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,408,4,587.4,6.4e-05,I don't know.,,0,0,0,0.0,0,0.0,421,4,540.4,6.6e-05,I don't know.,
Chris Williams last played for which football club from the National League North?,Chris_Williams_(English_footballer)|Salford_City_F.C.,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,505,4,468.7,7.8e-05,I don't know.,,0,0,0,0.0,0,0.0,518,4,649.0,8e-05,I don't know.,
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,1992–93_Charlotte_Hornets_season|Muggsy_Bogues,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,412,4,558.9,6.4e-05,I don't know.,,0,0,0,0.0,0,0.0,425,4,574.4,6.6e-05,I don't know.,
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",Bruce_Spizer|The_Beatles,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,515,4,579.6,8e-05,I don't know.,,0,0,0,0.0,0,0.0,528,4,759.9,8.2e-05,I don't know.,
"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",Ellie_Kemper|Kimmy_Schmidt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,230,4,537.6,3.7e-05,I don't know.,,0,0,0,0.0,0,0.0,243,4,1113.6,3.9e-05,I don't know.,
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro_Mexia|Indigenous_peoples_of_Florida,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,363,4,525.7,5.7e-05,I don't know.,,0,0,0,0.0,0,0.0,376,4,617.7,5.9e-05,I don't know.,
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",Baltimore_Orioles|Wayne_Garland,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,553,4,627.4,8.5e-05,I don't know.,,0,0,0,0.0,0,0.0,566,4,687.3,8.7e-05,I don't know.,
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand_lamp|Lewis_lamp,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,517,4,752.0,8e-05,I don't know.,,0,0,0,0.0,0,0.0,530,4,602.4,8.2e-05,I don't know.,
What amount was the settlement that the character from the Son of al Quada got in 2017?,Omar_Khadr|Son_of_al_Qaeda,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,536,4,591.5,8.3e-05,I don't know.,,0,0,0,0.0,0,0.0,549,4,734.5,8.5e-05,I don't know.,
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,2014_FIFA_World_Cup|Algeria_at_the_FIFA_World_Cup,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,345,4,632.7,5.4e-05,I don't know.,,0,0,0,0.0,0,0.0,358,4,561.9,5.6e-05,I don't know.,
"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",American_Airlines_Shuttle|Logan_International_Airport,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,510,4,709.8,7.9e-05,I don't know.,,0,0,0,0.0,0,0.0,523,4,483.1,8.1e-05,I don't know.,
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Moroccan_Ambassador_to_China|Rabat,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,411,4,531.0,6.4e-05,I don't know.,,0,0,0,0.0,0,0.0,424,4,701.0,6.6e-05,I don't know.,
Alice David is the voice of Lara Croft in a video game developed by which company ?,Alice_David|Tomb_Raider_(2013_video_game),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,234,4,550.0,3.7e-05,I don't know.,,0,0,0,0.0,0,0.0,249,4,547.1,4e-05,I don't know.,
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,America_East_Conference|Vermont_Catamounts_men's_soccer,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,566,4,781.9,8.7e-05,I don't know.,,0,0,0,0.0,0,0.0,579,4,505.0,8.9e-05,I don't know.,
Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Dim_Gray_Bar_Press|Wendell_Berry,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,510,4,528.3,7.9e-05,I don't know.,,0,0,0,0.0,0,0.0,523,4,734.8,8.1e-05,I don't know.,
"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999_Odisha_cyclone|Kathantara,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,487,4,497.0,7.5e-05,I don't know.,,0,0,0,0.0,0,0.0,500,4,633.3,7.7e-05,I don't know.,
Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia_University|Ralph_Hefferline,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,451,4,511.7,7e-05,I don't know.,,0,0,0,0.0,0,0.0,464,4,711.2,7.2e-05,I don't know.,
What year was the brother of this first round draft pick by the Washington Redskins drafted?,Boss_Bailey|Champ_Bailey,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,457,4,567.2,7.1e-05,I don't know.,,0,0,0,0.0,0,0.0,470,4,647.3,7.3e-05,I don't know.,
What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige_O'Hara|Something_There,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,437,4,725.3,6.8e-05,I don't know.,,0,0,0,0.0,0,0.0,450,4,728.1,7e-05,I don't know.,
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"Memphis_Hustle|Southaven,_Mississippi",hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,493,4,541.6,7.6e-05,I don't know.,,0,0,0,0.0,0,0.0,506,4,710.2,7.8e-05,I don't know.,
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1995–96_Manchester_United_F.C._season|Alex_Ferguson,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,482,4,689.5,7.5e-05,I don't know.,,0,0,0,0.0,0,0.0,495,4,612.9,7.7e-05,I don't know.,
What major city is the Faith Lutheran Middle School and High School located by?,"Faith_Lutheran_Middle_School_&amp;_High_School|Summerlin,_Nevada",hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,418,4,568.0,6.5e-05,I don't know.,,0,0,0,0.0,0,0.0,431,4,513.6,6.7e-05,I don't know.,
Where did the descendants of the group of black Indians associated with the Seminole people settle?,Black_Seminoles|Mascogos,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,486,4,411.4,7.5e-05,I don't know.,,0,0,0,0.0,0,0.0,510,4,496.9,7.9e-05,I don't know.,
D1NZ is a series based on what oversteering technique?,D1NZ|Drifting_(motorsport),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,220,4,533.7,3.5e-05,I don't know.,,0,0,0,0.0,0,0.0,233,4,487.3,3.7e-05,I don't know.,
What is the population according to the 2007 population census of the city in which the National Archives and Library of Ethiopia is located?,Addis_Ababa|National_Archives_and_Library_of_Ethiopia,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,412,4,492.6,6.4e-05,I don't know.,,0,0,0,0.0,0,0.0,438,4,818.6,6.8e-05,I don't know.,
