question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",I_Don_t_Wanna_Know.txt|Yeah!_Usher_song.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,273,4,601.8,4.3e-05,I don't know.,,0,0,0,0.5,0,1.0,321,4,454.6,5.1e-05,I don't know.,
Which American film director hosted the 18th Independent Spirit Awards in 2002?,18th_Independent_Spirit_Awards.txt|John_Waters.txt,hotpot_bridge,gpt4o-mini,1,0,1,0.5,0,1.0,283,15,596.1,5.1e-05,John Waters hosted the 18th Independent Spirit Awards in 2002.,,1,0,1,0.5,0,1.0,296,15,555.0,5.3e-05,John Waters hosted the 18th Independent Spirit Awards in 2002.,
What is the nickname of the city where Darling's Waterfront Pavilion is located?,Bangor_Maine.txt|Darling_s_Waterfront_Pavilion.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,258,15,721.0,4.8e-05,The nickname of the city where Darling's Waterfront Pavilion is located is Bangor.,,0,0,0,0.5,0,1.0,331,17,675.6,6e-05,"The nickname of the city where Darling's Waterfront Pavilion is located is ""Bangor.""",
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",Mountbatten-Windsor.txt|Mountbatten_family.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,388,52,1270.8,8.9e-05,"The name ""Mountbatten-Windsor"" applies to male-line descendants of Queen Elizabeth II and Prince Philip, Duke of Edinburgh, which is a branch of the Mountbatten",,1,1,1,1.0,1,1.0,450,69,1083.8,0.000109,"The name ""Mountbatten-Windsor"" applies to male-line descendants of Queen Elizabeth II and Prince Philip, Duke of Edinburgh, which is a personal surname. It does",
Which American film actor and dancer starred in the 1945 film Johnny Angel?,George_Raft.txt|Johnny_Angel.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,286,13,748.7,5.1e-05,George Raft starred in the 1945 film Johnny Angel.,,1,1,1,0.5,0,1.0,378,13,775.9,6.4e-05,George Raft starred in the 1945 film Johnny Angel.,
James Fieser received his B.A. from what liberal arts work college that was founded in 1855?,Berea_College.txt|James_Fieser.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,295,14,1685.2,5.3e-05,James Fieser received his B.A. from Berea College.,,1,1,1,0.5,0,1.0,416,14,653.9,7.1e-05,James Fieser received his B.A. from Berea College.,
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena_of_Khazan.txt|Tunnels_&amp;_Trolls.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,262,20,939.0,5.1e-05,"The name for the adventure in ""Tunnels & Trolls"" is ""Arena of Khazan.""",,1,1,1,1.0,1,1.0,282,20,1048.2,5.4e-05,"The name of the adventure in ""Tunnels & Trolls"" is ""Arena of Khazan.""",
"What year was the film that starred the composer for ""The Naked Brothers Band""?",Nat_Wolff.txt|The_Fault_in_Our_Stars_film.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,330,4,538.2,5.2e-05,I don't know.,,0,0,0,0.0,0,0.0,402,4,520.3,6.3e-05,I don't know.,
When was the palace founded at which Columba de Dunbar died in 1435?,Columba_de_Dunbar.txt|Spynie_Palace.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,327,4,469.6,5.1e-05,I don't know.,,0,0,0,0.5,0,1.0,391,4,426.7,6.1e-05,I don't know.,
What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,Frank_Thomas_Big_Hurt.txt|Frank_Thomas_designated_hitter.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,0.333,377,4,585.1,5.9e-05,I don't know.,,0,0,0,0.5,0,0.333,428,4,447.0,6.7e-05,I don't know.,
What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,Henry_III_of_France.txt|Jean_Baptiste_Androuet_du_Cerceau.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,298,4,520.4,4.7e-05,I don't know.,,0,0,0,0.0,0,0.0,360,4,683.7,5.6e-05,I don't know.,
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Bobbi_Bacha.txt|Sela_Ward.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,281,4,516.8,4.5e-05,I don't know.,,0,0,0,0.5,0,1.0,383,4,569.8,6e-05,I don't know.,
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",I&quot;s.txt|Masakazu_Katsura.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,463,4,635.4,7.2e-05,I don't know.,,0,0,0,0.5,0,1.0,542,4,500.8,8.4e-05,I don't know.,
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",Harry_Connick_Jr..txt|When_Harry_Met_Sally..._soundtrack.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,285,4,490.2,4.5e-05,I don't know.,,0,0,0,0.5,0,1.0,324,4,772.4,5.1e-05,I don't know.,
Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Beverly_Marshall.txt|Ramsay_Street.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,372,7,732.5,6e-05,The suburb is Erinsborough.,,1,0,1,1.0,1,1.0,472,7,588.0,7.5e-05,The suburb is Erinsborough.,
Chris Williams last played for which football club from the National League North?,Chris_Williams_English_footballer.txt|Salford_City_F.C..txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,259,9,541.9,4.4e-05,Chris Williams last played for Salford City.,,1,1,1,0.5,0,1.0,365,19,681.7,6.6e-05,"Chris Williams last played for Salford City, which is a club in the National League North.",
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,199293_Charlotte_Hornets_season_5737e5.txt|Muggsy_Bogues.txt,hotpot_bridge,gpt4o-mini,0,0,1,0.5,0,1.0,257,46,1117.6,6.6e-05,The distinction held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlot,,0,0,0,0.5,0,1.0,344,4,442.6,5.4e-05,I don't know.,
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",Bruce_Spizer.txt|The_Beatles.txt,hotpot_bridge,gpt4o-mini,1,0,1,0.5,0,1.0,313,25,776.1,6.2e-05,"Bruce Spizer is an expert on The Beatles, who are recognized as one of the most influential acts of the rock era.",,0,1,1,0.5,0,1.0,326,33,2116.0,6.9e-05,"Bruce Spizer is an expert on The Beatles, but the most influential act of the rock era, as declared by Billboard historian Joel Whitburn, is Elvis Presley.",
"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",Ellie_Kemper.txt|Kimmy_Schmidt.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,299,25,1404.4,6e-05,"Elizabeth Claire Kemper is known for playing the character Kimmy Schmidt in the Netflix series ""Unbreakable Kimmy Schmidt.""",,1,1,1,1.0,1,1.0,421,25,681.3,7.8e-05,"Elizabeth Claire Kemper is known for playing the character Kimmy Schmidt in the Netflix series ""Unbreakable Kimmy Schmidt.""",
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Alvaro_Mexia.txt|Indigenous_peoples_of_Florida.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,1.0,299,15,627.2,5.4e-05,Alvaro Mexia had a diplomatic mission with the Ais native population.,,0,1,1,0.5,0,1.0,370,15,631.0,6.4e-05,Alvaro Mexia had a diplomatic mission with the Ais native population.,
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",Baltimore_Orioles.txt|Wayne_Garland.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,375,10,579.4,6.2e-05,The American League was established in 1901.,,1,1,1,1.0,1,1.0,482,10,780.9,7.8e-05,The American League was established in 1901.,
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand_lamp.txt|Lewis_lamp.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,311,26,795.4,6.2e-05,The lamp used in many lighthouses is similar to the Argand lamp patented in 1780 by Aimé Argand.,,1,1,1,1.0,1,1.0,352,33,1024.4,7.3e-05,"Yes, the lamp used in many lighthouses, the Lewis lamp, is similar to the Argand lamp patented in 1780 by Aimé Argand.",
What amount was the settlement that the character from the Son of al Quada got in 2017?,Omar_Khadr.txt|Son_of_al_Qaeda.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,332,24,854.3,6.4e-05,The settlement amount that Omar Khadr received in 2017 was $10.5 million (USD 8 million).,,1,1,1,0.5,0,1.0,360,19,604.3,6.5e-05,The settlement amount that Omar Khadr received in 2017 was $10.5 million.,
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,2014_FIFA_World_Cup.txt|Algeria_at_the_FIFA_World_Cup.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,258,4,592.4,4.1e-05,I don't know.,,0,0,0,0.5,0,1.0,366,4,816.9,5.7e-05,I don't know.,
"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",American_Airlines_Shuttle.txt|Logan_International_Airport.txt,hotpot_bridge,gpt4o-mini,1,0,1,1.0,1,1.0,323,5,570.5,5.1e-05,Logan International Airport.,,1,0,1,1.0,1,1.0,422,5,710.3,6.6e-05,Logan International Airport.,
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Moroccan_Ambassador_to_China.txt|Rabat.txt,hotpot_bridge,gpt4o-mini,1,0,1,1.0,1,1.0,224,21,833.3,4.6e-05,The ambassador of the Rabat-Salé-Kénitra administrative region to China is based in Beijing.,,1,0,1,1.0,1,1.0,300,43,911.2,7.1e-05,"The ambassador of the Rabat-Salé-Kénitra administrative region to China is based in Beijing, as he is the official representative of the Government in Rabat to ",
Alice David is the voice of Lara Croft in a video game developed by which company ?,Alice_David.txt|Tomb_Raider_2013_video_game.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,398,4,479.5,6.2e-05,I don't know.,,0,0,0,0.0,0,0.0,510,4,655.4,7.9e-05,I don't know.,
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,America_East_Conference.txt|Vermont_Catamounts_men_s_soccer.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,356,4,565.8,5.6e-05,I don't know.,,0,0,0,0.5,0,1.0,473,4,508.8,7.3e-05,I don't know.,
Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Dim_Gray_Bar_Press.txt|Wendell_Berry.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,357,14,706.9,6.2e-05,Wendell Berry has had works published by Dim Gray Bar Press.,,1,1,1,1.0,1,1.0,424,14,597.5,7.2e-05,Wendell Berry has had works published by Dim Gray Bar Press.,
"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999_Odisha_cyclone.txt|Kathantara.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,397,4,662.2,6.2e-05,I don't know.,,0,0,0,0.5,0,1.0,429,4,468.2,6.7e-05,I don't know.,
Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia_University.txt|Ralph_Hefferline.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,215,21,680.4,4.5e-05,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",,1,1,1,0.5,0,1.0,256,21,1200.2,5.1e-05,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.",
What year was the brother of this first round draft pick by the Washington Redskins drafted?,Boss_Bailey.txt|Champ_Bailey.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,323,4,489.5,5.1e-05,I don't know.,,0,0,0,0.0,0,0.0,408,4,671.6,6.4e-05,I don't know.,
What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige_O_Hara.txt|Something_There.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,1.0,350,31,794.2,7.1e-05,"The American actress/singer born in 1956 who recorded the song ""Something There"" for ""Beauty and the Beast"" is Paige O'Hara.",,0,0,0,0.5,0,1.0,431,4,514.3,6.7e-05,I don't know.,
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,Memphis_Hustle.txt|Southaven_Mississippi.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,1.0,320,28,919.6,6.5e-05,"The Memphis Hustle are based in a suburb of Memphis, which had a population of 1,369,548 according to census estimates.",,0,1,1,0.5,0,1.0,403,39,994.0,8.4e-05,"The Memphis Hustle are based in Southaven, Mississippi, which is a suburb of Memphis. The population of Memphis in 2010 was 1,369,548 according to census estima",
The football manager who recruited David Beckham managed Manchester United during what timeframe?,199596_Manchester_United_F.C._season_3f9756.txt|Alex_Ferguson.txt,hotpot_bridge,gpt4o-mini,1,0,1,0.0,0,0.0,341,24,1303.6,6.6e-05,"The football manager who recruited David Beckham, Sir Alex Ferguson, managed Manchester United from 1986 to 2013.",,0,0,0,0.0,0,0.0,408,40,913.0,8.5e-05,"David Beckham was recruited by Manchester United, which was managed by Sir Alexander Matthew Busby from 1945 to 1969 and again for the second half of the 1970–7",
What major city is the Faith Lutheran Middle School and High School located by?,Faith_Lutheran_Middle_School_&amp;_High_School.txt|Summerlin_Nevada.txt,hotpot_bridge,gpt4o-mini,1,1,1,0.5,0,0.333,351,16,809.9,6.2e-05,"The Faith Lutheran Middle School & High School is located by Las Vegas, Nevada.",,1,1,1,0.5,0,0.333,364,39,876.1,7.8e-05,"The Faith Lutheran Middle School & High School is located in Summerlin, Clark County, Nevada, which serves the Las Vegas Valley. Therefore, the major city it is",
Where did the descendants of the group of black Indians associated with the Seminole people settle?,Black_Seminoles.txt|Mascogos.txt,hotpot_bridge,gpt4o-mini,0,1,1,0.5,0,1.0,347,20,815.6,6.4e-05,The descendants of the group of black Indians associated with the Seminole people settled in Florida and Oklahoma.,,0,1,1,0.5,0,1.0,436,20,733.9,7.7e-05,The descendants of the group of black Indians associated with the Seminole people settled in Florida and Oklahoma.,
D1NZ is a series based on what oversteering technique?,D1NZ.txt|Drifting_motorsport.txt,hotpot_bridge,gpt4o-mini,1,1,1,1.0,1,1.0,356,12,1193.2,6.1e-05,D1NZ is a series based on the drifting technique.,,1,1,1,1.0,1,1.0,391,26,1066.2,7.4e-05,"D1NZ is a series based on the drifting technique, where the driver intentionally oversteers while maintaining control of the car.",
What is the population according to the 2007 population census of the city in which the National Archives and Library of Ethiopia is located?,Addis_Ababa.txt|National_Archives_and_Library_of_Ethiopia.txt,hotpot_bridge,gpt4o-mini,0,0,0,0.5,0,1.0,302,4,713.7,4.8e-05,I don't know.,,0,0,0,0.5,0,1.0,388,4,700.8,6.1e-05,I don't know.,
